,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,500,4825,0.430650,63548,0.540149,39994,1115,10.048430,0,0,0,1.422628,8.734464,0.230052,0.229814,4755,2.356257,0,0,0,6.433591,26.300314,0.952746,0.922537
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,5,9487,0.529911,142943,0.725485,43115,108,165.768519,0,0,0,1.269288,12.411271,0.010119,0.010106,9713,1.843200,0,0,0,5.921214,38.651402,0.976178,0.931784
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,10,9487,0.529911,142943,0.725485,43115,388,46.141753,0,0,0,1.388516,12.530499,0.036682,0.036528,9933,1.802376,0,0,0,6.569237,39.299425,0.983873,0.925441
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,100,9487,0.529911,142943,0.725485,43115,1665,10.752553,0,0,0,1.604513,12.746496,0.170971,0.170199,10117,1.769596,0,0,0,8.329769,41.059957,0.988932,0.917824
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,200,9487,0.529911,142943,0.725485,43115,2383,7.512799,0,0,0,1.660133,12.802116,0.246653,0.245540,10147,1.764364,0,0,0,9.026991,41.757179,0.989248,0.915699
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,300,9487,0.529911,142943,0.725485,43115,2855,6.270753,0,0,0,1.727834,12.869817,0.296406,0.295068,10207,1.753992,0,0,0,9.770295,42.500483,0.989670,0.911111
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,400,9487,0.529911,142943,0.725485,43115,3245,5.517103,0,0,0,1.794892,12.936875,0.337514,0.335992,10251,1.746464,0,0,0,10.465105,43.195293,0.989881,0.907606
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,500,9487,0.529911,142943,0.725485,43115,3544,5.051637,0,0,0,1.856423,12.998406,0.368504,0.366649,10318,1.735123,0,0,0,10.851595,43.581783,0.989986,0.901949
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.020000,5,9487,0.529911,142943,0.725485,43115,15,1193.533333,0,0,0,1.306027,12.448010,0.001581,0.001581,9202,1.945555,0,0,0,5.699529,38.429717,0.953937,0.938894
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.020000,10,9487,0.529911,142943,0.725485,43115,30,596.766667,0,0,0,1.460728,12.602711,0.003162,0.003162,9370,1.910672,0,0,0,6.949732,39.679920,0.965532,0.944622
