,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.020000,500,2.187461,10.000463,0.271301,0.271269,11.674216,49.460310,0.993723,0.915703
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.030000,5,1.442354,9.255356,0.001162,0.001162,6.854371,44.640465,0.963385,0.935546
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.030000,10,1.772329,9.585331,0.002557,0.002557,8.059041,45.845135,0.975009,0.939621
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.030000,100,1.906487,9.719489,0.053935,0.053935,9.628242,47.414336,0.984540,0.939649
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.030000,200,2.011156,9.824158,0.098105,0.098105,10.290520,48.076614,0.985354,0.939592
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.030000,300,2.041082,9.854084,0.139835,0.139835,10.750963,48.537057,0.985935,0.939417
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.030000,400,2.100845,9.913847,0.174009,0.173989,11.125030,48.911124,0.986516,0.938620
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.030000,500,2.145002,9.958004,0.207834,0.207810,11.681453,49.467547,0.986981,0.937714
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.040000,5,1.439672,9.252674,0.000349,0.000349,6.902555,44.688649,0.947809,0.927856
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.040000,10,1.688578,9.501580,0.001627,0.001627,7.955375,45.741469,0.963617,0.937677
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.040000,100,1.940167,9.753169,0.035918,0.035918,9.588450,47.374544,0.976985,0.944276
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.040000,200,1.974881,9.787883,0.074741,0.074741,10.171939,47.958033,0.977682,0.944632
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.040000,300,2.012990,9.825992,0.106242,0.106242,10.661382,48.447476,0.978147,0.944763
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.040000,400,2.074937,9.887939,0.137743,0.137727,10.962277,48.748371,0.978961,0.944700
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.040000,500,2.155302,9.968304,0.169011,0.168991,11.400676,49.186770,0.979542,0.944731
